Title,Title_link,list-card-price,list-card-type,Field2,Field1,list-card-details,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Price/sqft,Monthly cost
"846 Moreland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/846-Moreland-Ave-SE-Atlanta-GA-30316/14446434_zpid/,"$439,000",House for sale,4 ba,4 bds,"1,596 sqft","$428,726",Single Family,2003,Forced air,Other,No Data,"8,712 sqft",$275,"$2,171"
"19 Hilliard St SE APT 19, Atlanta, GA 30312",https://www.zillow.com/homedetails/19-Hilliard-St-SE-APT-19-Atlanta-GA-30312/2146358368_zpid/,"$299,000",Condo for sale,1 ba,2 bds,"1,105 sqft","$285,520",Condo,1944,Forced air,Central,No Data,$250/month,$271,"$1,718"
"1727 Piper Cir SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1727-Piper-Cir-SE-Atlanta-GA-30316/14446891_zpid/,"$258,000",House for sale,2 ba,2 bds,"1,073 sqft","$249,399",Single Family,1946,Forced air,Central,6 spaces,"8,712 sqft",$240,"$1,276"
"797 Moreland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/797-Moreland-Ave-SE-Atlanta-GA-30316/35832589_zpid/,"$449,000",House for sale,2 ba,3 bds,"1,502 sqft","$443,758",Single Family,1930,Forced air,Central,No Data,"7,000 sqft",$299,"$2,205"
"375 Ralph Mcgill Blvd NE APT 306, Atlanta, GA 30312",https://www.zillow.com/homedetails/375-Ralph-Mcgill-Blvd-NE-APT-306-Atlanta-GA-30312/65461209_zpid/,"$210,000",Condo for sale,1 ba,1 bd,800 sqft,"$203,699",Condo,1980,Other,Central,1 space,$392/month,$262,"$1,473"
"375 Ralph Mcgill Blvd NE APT 402, Atlanta, GA 30312",https://www.zillow.com/homedetails/375-Ralph-Mcgill-Blvd-NE-APT-402-Atlanta-GA-30312/65461213_zpid/,"$164,900",Condo for sale,1 ba,1 bd,800 sqft,"$161,755",Condo,1980,Forced air,Central,1 space,$32/month,$206,$881
"706 Mercer St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/706-Mercer-St-SE-Atlanta-GA-30312/35867590_zpid/,"$209,900",House for sale,1 ba,3 bds,816 sqft,"$204,285",Single Family,1989,Forced air,Central,2 spaces,435 sqft,$257,"$1,080"
"1970 Dekalb Ave NE # 9, Atlanta, GA",https://www.zillow.com/homedetails/1970-Dekalb-Ave-NE-9-Atlanta-GA-30307/2083735296_zpid/,"$619,900",New construction,4 ba,3 bds,"1,840 sqft","$609,925",Townhouse,2019,Gas,Central,No Data,No Data,$337,"$3,154"
"1970 Dekalb Ave NE # 3, Atlanta, GA",https://www.zillow.com/homedetails/1970-Dekalb-Ave-NE-3-Atlanta-GA-30307/2083735524_zpid/,"$599,900",New construction,4 ba,3 bds,"1,800 sqft","$590,186",Townhouse,2019,Gas,Central,No Data,No Data,$333,"$2,968"
"1970 Dekalb Ave NE # 2, Atlanta, GA",https://www.zillow.com/homedetails/1970-Dekalb-Ave-NE-2-Atlanta-GA-30307/2083735668_zpid/,"$619,900",New construction,4 ba,3 bds,"1,820 sqft","$609,915",Townhouse,2019,Gas,Central,No Data,No Data,$341,"$3,154"
"1342 Arkwright Pl SE, Atlanta, GA",https://www.zillow.com/homedetails/1342-Arkwright-Pl-SE-Atlanta-GA-30317/14467506_zpid/,"$475,000",New construction,3 ba,3 bds,"2,100 sqft","$460,176",Single Family,2019,"Forced air, Heat pump",Central,1 space,"8,712 sqft",$226,"$2,349"
"767 Aerial Way # 59, Atlanta, GA",https://www.zillow.com/homedetails/767-Aerial-Way-59-Atlanta-GA-30312/2083765472_zpid/,"$417,046",New construction,4 ba,3 bds,"1,789 sqft","$404,689",Townhouse,2019,No Data,No Data,No Data,No Data,$233,"$2,238"
"1020 N Virginia Ave NE, Atlanta, GA 30306",https://www.zillow.com/homedetails/1020-N-Virginia-Ave-NE-Atlanta-GA-30306/35895688_zpid/,"$599,000",House for sale,2 ba,3 bds,"1,260 sqft",,Single Family,1960,Forced air,Central,1 space,"7,405 sqft",$475,"$2,944"
"135 Dahlgren St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/135-Dahlgren-St-SE-Atlanta-GA-30317/14467676_zpid/,"$215,000",Lot / Land for sale,,"8,712 sqft lot",,,,,,,,,,"$1,114"
"1392 Miller Reed Ave SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/1392-Miller-Reed-Ave-SE-Atlanta-GA-30315/35876970_zpid/,"$399,900",House for sale,2 ba,3 bds,"1,602 sqft","$389,112",Single Family,1928,Heat pump,Central,Off street,"7,492 sqft",$250,"$1,964"
"840 United Ave SE UNIT 110, Atlanta, GA 30312",https://www.zillow.com/homedetails/840-United-Ave-SE-UNIT-110-Atlanta-GA-30312/283677338_zpid/,"$244,900",Condo for sale,1 ba,1 bd,732 sqft,"$239,432",Condo,2018,Forced air,Central,1 space,$260/month,$335,"$1,521"
"1261 Virginia Ave NE APT 3, Atlanta, GA",https://www.zillow.com/homedetails/1261-Virginia-Ave-NE-APT-3-Atlanta-GA-30306/2092716914_zpid/,"$936,900",New construction,5 ba,4 bds,"2,378 sqft","$915,917",Townhouse,2019,No Data,No Data,No Data,No Data,$394,"$5,032"
"1161 Briarcliff Pl NE, Atlanta, GA",https://www.zillow.com/homedetails/1161-Briarcliff-Pl-NE-Atlanta-GA-30306/35850838_zpid/,"$1,795,000",New construction,6 ba,5 bds,"5,067 sqft","$1,721,033",Single Family,2019,Forced air,Central,Carport,"8,450 sqft",$354,"$9,072"
"1631 Stanwood Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/1631-Stanwood-Ave-SE-Atlanta-GA-30317/14466947_zpid/,"$625,000",New construction,3 ba,4 bds,"2,963 sqft","$596,593",Single Family,1936,"Forced air, Heat pump",Central,2 spaces,0.3 acres,$211,"$3,180"
"1684 Braeburn Dr SE # 0, Atlanta, GA 30316",https://www.zillow.com/homedetails/1684-Braeburn-Dr-SE-0-Atlanta-GA-30316/2083813191_zpid/,"$460,000",House for sale,3 ba,4 bds,"2,000 sqft","$446,119",Single Family,1972,Forced air,Central,4 spaces,"8,712 sqft",$230,"$2,275"
"1327 Iverson St NE # A, Atlanta, GA",https://www.zillow.com/homedetails/1327-Iverson-St-NE-A-Atlanta-GA-30307/2085895120_zpid/,"$749,900",New construction,5 ba,3 bds,"2,822 sqft","$725,445",Townhouse,2019,Forced air,Central,4 spaces,No Data,$266,"$3,998"
"1124 Walker Dr, Decatur, GA 30030",https://www.zillow.com/homedetails/1124-Walker-Dr-Decatur-GA-30030/14471868_zpid/,"$340,000",House for sale,2 ba,4 bds,"1,350 sqft","$329,503",Single Family,1951,Forced air,Central,4 spaces,0.28 acres,$252,"$1,681"
"170 Boulevard SE APT E316, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-SE-APT-E316-Atlanta-GA-30312/2113491266_zpid/,"$499,900",Condo for sale,2 ba,2 bds,"1,856 sqft","$487,323",Condo,2007,No Data,No Data,2 spaces,$508/month,$269,"$2,963"
"478 Grant St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/478-Grant-St-SE-Atlanta-GA-30312/35877987_zpid/,"Est. $487,952",Pre-foreclosure / Auction,2 ba,3 bds,"2,935 sqft","$487,952",Single Family,1905,Forced air,Central,No Data,"9,352 sqft",,"$2,466"
"143 Mayson Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/143-Mayson-Ave-NE-Atlanta-GA-30307/172742161_zpid/,"$379,900",Lot / Land for sale,,"4,356 sqft lot",,,,,,,,,,"$1,878"
"951 Glenwood Ave SE APT 1602, Atlanta, GA 30316",https://www.zillow.com/homedetails/951-Glenwood-Ave-SE-APT-1602-Atlanta-GA-30316/69378718_zpid/,"Est. $201,939",Pre-foreclosure / Auction,1.5 ba,1 bd,"1,212 sqft","$201,939",Condo,2003,Forced air,Central,No Data,No Data,,$992
"1650 Eastport Ter SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/1650-Eastport-Ter-SE-Atlanta-GA-30317/14457197_zpid/,$--,Pre-foreclosure / Auction,1 ba,1 bd,950 sqft,,Contact manager,Apartment,Other,Forced air,No,Off street,Contact manager,
"897 Bouldercrest Dr SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/897-Bouldercrest-Dr-SE-Atlanta-GA-30316/14446661_zpid/,"$219,000",House for sale,1 ba,2 bds,"1,100 sqft","$207,830",Single Family,1950,Forced air,Central,3 spaces,0.45 acres,$199,"$1,136"
"1112 Arkwright Pl SE # A, Atlanta, GA",https://www.zillow.com/homedetails/1112-Arkwright-Pl-SE-A-Atlanta-GA-30317/2083881190_zpid/,"$749,900",New construction,4 ba,4 bds,"2,457 sqft","$729,220",Townhouse,2019,No Data,No Data,No Data,"8,189 sqft",$305,"$3,787"
"2765 Tupelo St SE, Atlanta, GA",https://www.zillow.com/homedetails/2765-Tupelo-St-SE-Atlanta-GA-30317/2083881396_zpid/,"$709,900",New construction,4 ba,4 bds,"2,824 sqft","$688,737",Single Family,2019,Forced air,Central,4 spaces,"9,452 sqft",$251,"$3,609"
"867 Myrtle St NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/867-Myrtle-St-NE-Atlanta-GA-30308/35880590_zpid/,"$1,199,000",House for sale,5 ba,4 bds,"3,800 sqft","$1,172,934",Single Family,1920,Other,Central,1 space,"7,405 sqft",$316,"$6,055"
"821 Ralph Mcgill Blvd NE APT 3219, Atlanta, GA 30306",https://www.zillow.com/homedetails/821-Ralph-Mcgill-Blvd-NE-APT-3219-Atlanta-GA-30306/82611702_zpid/,"$209,000",Condo for sale,1 ba,1 bd,793 sqft,"$205,724",Condo,2001,Forced air,Central,1 space,$260/month,$264,"$1,338"
"549 Angier Ave NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/549-Angier-Ave-NE-Atlanta-GA-30308/35879433_zpid/,"$229,900",Lot / Land for sale,,"2,744 sqft lot",,,,,,,,,,"$1,185"
"1848 Flat Shoals Rd SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1848-Flat-Shoals-Rd-SE-Atlanta-GA-30316/14447135_zpid/,"Est. $148,667",Pre-foreclosure / Auction,1 ba,2 bds,"1,051 sqft","$148,667",Single Family,1950,Forced air,Central,1 space,0.26 acres,,$771
"295 Glen Iris Dr NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/295-Glen-Iris-Dr-NE-Atlanta-GA-30312/35860097_zpid/,"Est. $630,769",Pre-foreclosure / Auction,3.5 ba,4 bds,"2,450 sqft","$630,769",Single Family,2018,Forced air,Central,Attached Garage,"8,416 sqft",,"$3,252"
"436 Grant St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/436-Grant-St-SE-Atlanta-GA-30312/35877971_zpid/,"$635,000",House for sale,4 ba,4 bds,"3,377 sqft","$620,308",Single Family,1999,Forced air,Central,2 spaces,"7,927 sqft",$188,"$3,207"
"480 John Wesley Dobbs Ave NE UNIT 326, Atlanta, GA 30312",https://www.zillow.com/homedetails/480-John-Wesley-Dobbs-Ave-NE-UNIT-326-Atlanta-GA-30312/88814183_zpid/,"$290,000",Condo for sale,1 ba,2 bds,"1,025 sqft","$284,628",Condo,2007,Heat pump,Central,2 spaces,$377/month,$283,"$1,801"
"338 Glenwood Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/338-Glenwood-Ave-SE-Atlanta-GA-30312/35878355_zpid/,"$314,900",House for sale,1 ba,2 bds,"1,134 sqft","$306,388",Single Family,1992,Forced air,Central,No Data,"2,178 sqft",$278,"$1,546"
"323 Nolan St SE, Atlanta, GA 30315",https://www.zillow.com/homedetails/323-Nolan-St-SE-Atlanta-GA-30315/35876897_zpid/,"$419,900",House for sale,2 ba,3 bds,"1,512 sqft","$414,546",Single Family,1930,Forced air,Central,6 spaces,"8,372 sqft",$278,"$2,062"
"752 Moreland Ave SE UNIT 5, Atlanta, GA 30316",https://www.zillow.com/homedetails/752-Moreland-Ave-SE-UNIT-5-Atlanta-GA-30316/2145965042_zpid/,"$424,900",Condo for sale,4 ba,3 bds,"2,000 sqft","$402,272",Condo,2007,Forced air,Central,No Data,No Data,$212,"$2,101"
"536 Glen Iris Dr NE, Atlanta, GA 30308",https://www.zillow.com/homedetails/536-Glen-Iris-Dr-NE-Atlanta-GA-30308/35879239_zpid/,"$399,900",Lot / Land for sale,,"4,835 sqft lot",,"$390,688",,,,,,,,"$1,964"
"674 Atlanta Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/674-Atlanta-Ave-SE-Atlanta-GA-30312/35867891_zpid/,"$320,000",Make Me Move®,2 ba,2 bds,"1,032 sqft","$330,813",Single Family,1945,Forced air,Central,1 space,"3,001 sqft",$310,"$1,571"
"482 Parkway Dr NE, Atlanta, GA",https://www.zillow.com/homedetails/482-Parkway-Dr-NE-Atlanta-GA-30308/35879289_zpid/,"$1,095,000",New construction,6 ba,4 bds,"3,600 sqft",,Single Family,2019,Forced air,Central,Detached Garage,"5,314 sqft",$304,"$5,530"
"752 Moreland Ave SE UNIT 6, Atlanta, GA 30316",https://www.zillow.com/homedetails/752-Moreland-Ave-SE-UNIT-6-Atlanta-GA-30316/2083961347_zpid/,"$424,900",Condo for sale,4 ba,3 bds,"2,019 sqft","$403,735",Condo,2007,No Data,No Data,2 spaces,$200/month,$210,"$2,301"
"752 Moreland Ave SE UNIT 2, Atlanta, GA 30316",https://www.zillow.com/homedetails/752-Moreland-Ave-SE-UNIT-2-Atlanta-GA-30316/2083961454_zpid/,"$424,900",Condo for sale,4 ba,3 bds,"2,019 sqft","$402,272",Condo,2007,Forced air,Central,No Data,No Data,$210,"$2,101"
"280 Milledge Ave SE # A, Atlanta, GA",https://www.zillow.com/homedetails/280-Milledge-Ave-SE-A-Atlanta-GA-30312/2087222828_zpid/,"$575,000",New construction,3 ba,4 bds,"2,002 sqft","$559,713",Townhouse,2019,No Data,No Data,2 spaces,"3,397 sqft",$287,"$2,826"
"67 Esten St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/67-Esten-St-SE-Atlanta-GA-30316/171602870_zpid/,"$575,000",Townhouse for sale,3 ba,3 bds,"2,043 sqft",,Townhouse,2015,Heat pump,Central,Attached Garage,"4,791 sqft",$281,"$2,826"
"267 Patterson Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/267-Patterson-Ave-SE-Atlanta-GA-30316/14456385_zpid/,"$400,000",House for sale,2 ba,3 bds,"1,612 sqft","$394,157",Single Family,2005,Forced air,Central,1 space,"8,712 sqft",$248,"$1,977"
"410 Parkway Dr NE, Atlanta, GA 30312",https://www.zillow.com/homedetails/410-Parkway-Dr-NE-Atlanta-GA-30312/35879396_zpid/,"$549,900",House for sale,2 ba,3 bds,"1,736 sqft","$538,626",Single Family,1920,Forced air,Central,2 spaces,"5,179 sqft",$317,"$2,700"
"1122 Rosedale Dr NE # B3, Atlanta, GA 30306",https://www.zillow.com/homedetails/1122-Rosedale-Dr-NE-B3-Atlanta-GA-30306/2083985866_zpid/,"$289,000",Condo for sale,1 ba,2 bds,980 sqft,"$276,702",Condo,1930,Forced air,Central,No Data,$244/month,$295,"$1,663"
"2029 Memorial Dr SE # 2, Atlanta, GA",https://www.zillow.com/homedetails/2029-Memorial-Dr-SE-2-Atlanta-GA-30317/2094803749_zpid/,"$464,900",New construction,3.5 ba,4 bds,"2,359 sqft",,Townhouse,2017,Forced air,Central,Attached Garage,No Data,$197,"$2,298"
"1578 May Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1578-May-Ave-SE-Atlanta-GA-30316/14455704_zpid/,"$280,000",House for sale,1 ba,2 bds,"1,351 sqft","$268,803",Single Family,1948,Heat pump,Central,Attached Garage,"8,712 sqft",$207,"$1,384"
"1051 Park Row North SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/1051-Park-Row-North-SE-Atlanta-GA-30312/69382112_zpid/,"$310,000",Make Me Move®,3 ba,2 bds,"1,022 sqft","$280,585",Townhouse,2004,Forced air,Central,2 spaces,"1,607 sqft",$303,"$1,797"
"1672 Van Epps St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1672-Van-Epps-St-SE-Atlanta-GA-30316/14455324_zpid/,"$450,000",House for sale,3 ba,4 bds,"2,400 sqft",,Single Family,1948,Forced air,Central,4 spaces,"8,712 sqft",$188,"$2,225"
"440 Gartrell St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/440-Gartrell-St-SE-Atlanta-GA-30312/69345272_zpid/,"$499,000",House for sale,3 ba,3 bds,"1,920 sqft","$484,881",Single Family,2007,"Forced air, Heat pump",Central,3 spaces,"2,003 sqft",$260,"$2,450"
"473 Howard St SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/473-Howard-St-SE-Atlanta-GA-30317/14457101_zpid/,"$450,000",House for sale,4 ba,4 bds,"2,320 sqft",,Single Family,2018,Forced air,Central,Carport,0.3 acres,$194,"$2,225"
"821 Ralph Mcgill Blvd NE APT 2217, Atlanta, GA 30306",https://www.zillow.com/homedetails/821-Ralph-Mcgill-Blvd-NE-APT-2217-Atlanta-GA-30306/69367497_zpid/,"$350,000",Condo for sale,2 ba,2 bds,"1,077 sqft",,Condo,2001,Forced air,Central,No Data,$341/month,$325,"$2,060"
"154 Candler Rd SE, Atlanta, GA 30317",https://www.zillow.com/homedetails/154-Candler-Rd-SE-Atlanta-GA-30317/14464828_zpid/,"$375,000",House for sale,2 ba,4 bds,"2,112 sqft","$360,084",Single Family,1940,Forced air,Central,6 spaces,"2,038 sqft",$178,"$1,854"
"641 Moreland Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/641-Moreland-Ave-SE-Atlanta-GA-30316/35832459_zpid/,"$350,000",Apartment for sale,-- ba,Studio,"1,398 sqft","$341,201",Multi Family,1925,Forced air,Central,No Data,$250,,"$1,719"
"676 Juneberry Ln SE, Atlanta, GA",https://www.zillow.com/homedetails/676-Juneberry-Ln-SE-Atlanta-GA-30316/2084113627_zpid/,"$719,500",New construction,3 ba,4 bds,"2,400 sqft","$698,992",Single Family,2019,Forced air,Central,2 spaces,No Data,$300,"$3,758"
"174 Estoria St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/174-Estoria-St-SE-Atlanta-GA-30316/88063271_zpid/,"$574,900",House for sale,4 ba,3 bds,"1,975 sqft","$562,096",Single Family,2007,Forced air,Central,2 spaces,"5,227 sqft",$291,"$2,825"
"170 Boulevard Se # 523, Atlanta, GA 30312",https://www.zillow.com/homedetails/170-Boulevard-Se-523-Atlanta-GA-30312/82618339_zpid/,"$750,000",Make Me Move®,1 ba,1 bd,"1,500 sqft",,Condo,2000,Forced air,"Central, Other",Off street,$397/month,$500,"$4,184"
"638 Moreland Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/638-Moreland-Ave-NE-Atlanta-GA-30307/35851103_zpid/,"$595,000",House for sale,1 ba,3 bds,"1,768 sqft","$581,433",Single Family,1920,Forced air,Central,3 spaces,0.3 acres,$337,"$2,924"
"2069 Glenwood Ave SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/2069-Glenwood-Ave-SE-Atlanta-GA-30316/14457406_zpid/,"$364,000",House for sale,2 ba,3 bds,"1,600 sqft","$352,681",Single Family,1950,Other,Central,3 spaces,0.3 acres,$228,"$1,800"
"76 Mayson Ave NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/76-Mayson-Ave-NE-Atlanta-GA-30307/14468689_zpid/,"$215,000",Lot / Land for sale,,"4,356 sqft lot",,,,,,,,,,"$1,116"
"480 John Wesley Dobbs Ave NE UNIT 320, Atlanta, GA 30312",https://www.zillow.com/homedetails/480-John-Wesley-Dobbs-Ave-NE-UNIT-320-Atlanta-GA-30312/118454711_zpid/,"$370,000",Make Me Move®,2 ba,2 bds,"1,306 sqft","$355,787",Condo,2007,"Forced air, Heat pump",Central,No Data,$480/month,$242,"$2,297"
"195 Arizona Ave NE UNIT 125, Atlanta, GA 30307",https://www.zillow.com/homedetails/195-Arizona-Ave-NE-UNIT-125-Atlanta-GA-30307/70840225_zpid/,"$315,000",Condo for sale,2 ba,2 bds,"1,419 sqft","$311,002",Condo,2003,Forced air,Central,1 space,$279/month,$222,"$1,836"
"673 Boulevard Ne # 12, Atlanta, GA 30308",https://www.zillow.com/homedetails/673-Boulevard-Ne-12-Atlanta-GA-30308/65461540_zpid/,"$169,900",Condo for sale,1 ba,1 bd,705 sqft,"$167,248",Condo,1940,Forced air,Central,1 space,$318/month,$241,"$1,194"
"261 Glenwood Ave SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/261-Glenwood-Ave-SE-Atlanta-GA-30312/35881839_zpid/,"$560,000",House for sale,3 ba,3 bds,"2,692 sqft","$547,376",Single Family,2006,Forced air,Central,"Off street, On street","9,016 sqft",$208,"$2,750"
"22 Airline St UNIT 202, Atlanta, GA",https://www.zillow.com/homedetails/22-Airline-St-UNIT-202-Atlanta-GA-30312/2084305119_zpid/,"$359,900",New construction,1 ba,1 bd,739 sqft,"$343,904",Condo,2019,No Data,No Data,2 spaces,No Data,$487,"$1,767"
"22 Airline St UNIT 306, Atlanta, GA",https://www.zillow.com/homedetails/22-Airline-St-UNIT-306-Atlanta-GA-30312/2084319454_zpid/,"$584,900",New construction,2 ba,2 bds,"1,172 sqft","$573,612",Condo,2019,No Data,No Data,2 spaces,No Data,$499,"$2,874"
"22 Airline St UNIT 404, Atlanta, GA",https://www.zillow.com/homedetails/22-Airline-St-UNIT-404-Atlanta-GA-30312/2084319452_zpid/,"$629,900",New construction,2 ba,1 bd,"1,335 sqft","$615,199",Condo,2019,No Data,No Data,2 spaces,No Data,$472,"$3,181"
"22 Airline St UNIT 201, Atlanta, GA",https://www.zillow.com/homedetails/22-Airline-St-UNIT-201-Atlanta-GA-30312/2084319455_zpid/,"$589,900",New construction,2 ba,2 bds,"1,228 sqft","$578,515",Condo,2019,No Data,No Data,2 spaces,No Data,$480,"$2,899"
"710 Argonne Ave NE APT 2, Atlanta, GA 30308",https://www.zillow.com/homedetails/710-Argonne-Ave-NE-APT-2-Atlanta-GA-30308/55016262_zpid/,"$189,000",Condo for sale,1 ba,2 bds,667 sqft,"$185,551",Condo,1965,Forced air,Central,1 space,$329/month,$283,"$1,303"
"381 Ralph Mcgill Blvd NE APT K, Atlanta, GA 30312",https://www.zillow.com/homedetails/381-Ralph-Mcgill-Blvd-NE-APT-K-Atlanta-GA-30312/65461366_zpid/,"$199,000",Condo for sale,2 ba,2 bds,"1,125 sqft","$195,425",Condo,1980,Forced air,Central,1 space,$562/month,$177,"$1,588"
"19 Hilliard St SE, Atlanta, GA 30312",https://www.zillow.com/homedetails/19-Hilliard-St-SE-Atlanta-GA-30312/69368754_zpid/,"$299,000",Condo for sale,1 ba,2 bds,"1,105 sqft","$291,149",Condo,1944,Forced air,Central,No Data,$250/month,$271,"$1,718"
"713 Moreland Ave SE # 6, Atlanta, GA",https://www.zillow.com/homedetails/713-Moreland-Ave-SE-6-Atlanta-GA-30316/2084394376_zpid/,"$579,000",New construction,4 ba,3 bds,"1,978 sqft","$566,893",Townhouse,2019,"Forced air, Heat pump",Central,2 spaces,"3,397 sqft",$293,"$2,870"
"33 Lullwater Est NE, Atlanta, GA 30307",https://www.zillow.com/homedetails/33-Lullwater-Est-NE-Atlanta-GA-30307/14479665_zpid/,"$465,000",Condo for sale,3 ba,3 bds,"2,000 sqft","$455,727",Condo,1983,Forced air,Central,2 spaces,$572/month,$232,"$2,871"
"1130 Piedmont Ave NE APT 607, Atlanta, GA 30309",https://www.zillow.com/homedetails/1130-Piedmont-Ave-NE-APT-607-Atlanta-GA-30309/35899227_zpid/,"Est. $296,593",Pre-foreclosure / Auction,2 ba,2 bds,"1,110 sqft","$296,593",Condo,1988,Heat pump,Central,2 spaces,$561/month,,"$2,017"
"494 Greencove Ln SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/494-Greencove-Ln-SE-Atlanta-GA-30316/14456767_zpid/,"$270,000",House for sale,1 ba,2 bds,"1,305 sqft","$263,974",Single Family,1958,Forced air,Central,Carport,"8,712 sqft",$207,"$1,335"
"910 Ponce De Leon Ave NE # 6, Atlanta, GA",https://www.zillow.com/homedetails/910-Ponce-De-Leon-Ave-NE-6-Atlanta-GA-30306/2084433573_zpid/,"$985,000",New construction,5 ba,4 bds,"3,057 sqft","$958,136",Townhouse,2019,Heat pump,Central,4 spaces,No Data,$322,"$5,174"
"910 Ponce De Leon Ave NE # 2, Atlanta, GA",https://www.zillow.com/homedetails/910-Ponce-De-Leon-Ave-NE-2-Atlanta-GA-30306/2084433658_zpid/,"$925,000",New construction,5 ba,4 bds,"3,057 sqft","$891,557",Townhouse,2019,Heat pump,Central,4 spaces,No Data,$303,"$4,871"
"2323 Miriam Ln, Decatur, GA 30032",https://www.zillow.com/homedetails/2323-Miriam-Ln-Decatur-GA-30032/14449170_zpid/,"$214,900",House for sale,2 ba,3 bds,"2,075 sqft","$205,114",Single Family,1958,Forced air,Central,2 spaces,0.4 acres,$104,"$1,115"
"2349 Rover Ct # 25, Atlanta, GA 30317",https://www.zillow.com/homedetails/2349-Rover-Ct-25-Atlanta-GA-30317/2084444661_zpid/,"$489,900",House for sale,4 ba,4 bds,-- sqft,"$478,992",Single Family,2019,Forced air,Central,Attached Garage,No Data,No Data,"$2,542"
"2345 Rover Ct # 24, Atlanta, GA 30317",https://www.zillow.com/homedetails/2345-Rover-Ct-24-Atlanta-GA-30317/2084444663_zpid/,"$492,900",House for sale,4 ba,4 bds,-- sqft,"$477,338",Single Family,2019,Forced air,Central,Attached Garage,No Data,No Data,"$2,557"
"280 S Warren St SE, Atlanta, GA",https://www.zillow.com/homedetails/280-S-Warren-St-SE-Atlanta-GA-30317/14457304_zpid/,"$439,000",New construction,3 ba,4 bds,"2,218 sqft","$429,558",Single Family,2018,Forced air,Central,2 spaces,"8,712 sqft",$198,"$2,170"
"2345 Rover Ct, Atlanta, GA",https://www.zillow.com/homedetails/2345-Rover-Ct-Atlanta-GA-30317/2084494379_zpid/,"$492,900",New construction,4 ba,3 bds,"2,412 sqft","$477,944",Single Family,2019,No Data,No Data,2 spaces,No Data,$204,"$2,557"
"2349 Rover Ct, Atlanta, GA",https://www.zillow.com/homedetails/2349-Rover-Ct-Atlanta-GA-30317/2084494538_zpid/,"$489,900",New construction,4 ba,3 bds,"2,412 sqft","$475,035",Single Family,2019,No Data,No Data,2 spaces,No Data,$203,"$2,542"
"1111 Wylie St SE, Atlanta, GA 30316",https://www.zillow.com/homedetails/1111-Wylie-St-SE-Atlanta-GA-30316/82622343_zpid/,"$500,000",House for sale,3 ba,3 bds,"2,035 sqft","$488,183",Single Family,2005,Forced air,Central,Off street,"6,011 sqft",$246,"$2,455"
"490 Blake Ave SE, Atlanta, GA",https://www.zillow.com/homedetails/490-Blake-Ave-SE-Atlanta-GA-30316/2084508191_zpid/,"$650,000",New construction,3 ba,5 bds,"2,500 sqft","$630,597",Single Family,2019,Forced air,Central,Detached Garage,"8,276 sqft",$260,"$3,304"
"189 Stovall St SE # B, Atlanta, GA 30316",https://www.zillow.com/homedetails/189-Stovall-St-SE-B-Atlanta-GA-30316/2084511689_zpid/,"$699,000",House for sale,3 ba,4 bds,"2,080 sqft","$688,869",Single Family,2017,Forced air,Central,2 spaces,"4,007 sqft",$336,"$3,530"
"1608 Marlbrook Dr NE, Atlanta, GA",https://www.zillow.com/homedetails/1608-Marlbrook-Dr-NE-Atlanta-GA-30307/2094561686_zpid/,"$1,250,000",New construction,4 ba,4 bds,"3,000 sqft","$1,212,737",Single Family,2019,Forced air,Central,4 spaces,871 sqft,$417,"$6,354"
